number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_two_layers_architecture_2	params_two_layers_architecture_3	state
0	0.00043685991720975075	2020-10-14 18:54:03.498077	2020-10-14 19:03:15.033058	0 days 00:09:11.534981000		0.027419030573978	6	1				COMPLETE
1	0.0003765826705363739	2020-10-14 19:03:15.033539	2020-10-14 19:12:33.135950	0 days 00:09:18.102411000		0.0018250142834486862	7	1				COMPLETE
2	0.0003477188620450603	2020-10-14 19:12:33.136368	2020-10-14 19:27:29.530675	0 days 00:14:56.394307000	0.45	2.473884555299499e-05	7	2			pyramid_2	COMPLETE
3	0.0003371161426465464	2020-10-14 19:27:29.531193	2020-10-14 19:37:27.423306	0 days 00:09:57.892113000	0.2	0.000238414591118098	6	2			flat	COMPLETE
4	0.0003944178920430468	2020-10-14 19:37:27.423780	2020-10-14 19:46:28.998395	0 days 00:09:01.574615000		0.003641425919197815	8	1				COMPLETE
5	0.000509200282600767	2020-10-14 19:46:28.998856	2020-10-14 19:55:41.722147	0 days 00:09:12.723291000	0.4	0.006523824173939391	9	2		flat		COMPLETE
6	0.00037943347096700556	2020-10-14 19:55:41.722621	2020-10-14 20:05:25.723200	0 days 00:09:44.000579000		0.003610323141030411	6	1				COMPLETE
7	0.00034742364106097446	2020-10-14 20:05:25.723661	2020-10-14 20:15:22.537860	0 days 00:09:56.814199000	0.1	0.0009200393178665837	9	3				COMPLETE
8	0.0003398475237876245	2020-10-14 20:15:22.538350	2020-10-14 20:25:22.228328	0 days 00:09:59.689978000	0.1	0.0007220893681911693	8	3	pyramid_2			COMPLETE
9	0.0003727106309803133	2020-10-14 20:25:22.228809	2020-10-14 20:34:37.070493	0 days 00:09:14.841684000		0.0008298575069915587	7	1				COMPLETE
10	0.0003398135993623329	2020-10-14 20:34:37.070959	2020-10-14 20:45:02.564518	0 days 00:10:25.493559000	0.25	7.970169509293476e-05	10	2				COMPLETE
11	0.0003404661279419626	2020-10-14 20:45:02.564996	2020-10-14 20:55:24.750362	0 days 00:10:22.185366000	0.25	7.637325876857514e-05	10	2				COMPLETE
12	0.00033992450384938324	2020-10-14 20:55:24.750844	2020-10-14 21:05:45.789621	0 days 00:10:21.038777000	0.25	8.126692432941928e-05	10	2				COMPLETE
13	0.00033465801377274954	2020-10-14 21:05:45.790153	2020-10-14 21:15:40.643624	0 days 00:09:54.853471000	0.30000000000000004	0.0001702569046397381	9	3				COMPLETE
14	0.0003343664562670581	2020-10-14 21:15:40.644080	2020-10-14 21:26:07.587388	0 days 00:10:26.943308000	0.35000000000000003	0.00019991383917993322	9	3				COMPLETE
15	0.0003443102696165905	2020-10-14 21:26:07.587838	2020-10-14 21:38:02.830852	0 days 00:11:55.243014000	0.35000000000000003	1.0958452590171087e-05	9	3				COMPLETE
16	0.0003379101414549624	2020-10-14 21:38:02.831491	2020-10-14 21:48:42.788394	0 days 00:10:39.956903000	0.5	0.00020649302362335062	9	3				COMPLETE
17	0.000338064943222919	2020-10-14 21:48:42.788841	2020-10-14 21:58:27.457813	0 days 00:09:44.668972000	0.35000000000000003	0.00022263157623381288	8	3	flat			COMPLETE
18	0.0003412744509363334	2020-10-14 21:58:27.458272	2020-10-14 22:09:37.569695	0 days 00:11:10.111423000	0.35000000000000003	1.7396783747529554e-05	9	3				COMPLETE
19	0.0003370702835924536	2020-10-14 22:09:37.570165	2020-10-14 22:20:27.556206	0 days 00:10:49.986041000	0.0	3.55035245172028e-05	10	3				COMPLETE
20	0.00033389715372438787	2020-10-14 22:20:27.574825	2020-10-14 22:30:49.848368	0 days 00:10:22.273543000	0.15000000000000002	0.00030987918540484235	9	3				COMPLETE
21	0.00033517058591406946	2020-10-14 22:30:49.848828	2020-10-14 22:41:01.917405	0 days 00:10:12.068577000	0.15000000000000002	0.0003866479212876844	9	3				COMPLETE
22	0.0003363922263800256	2020-10-14 22:41:01.917854	2020-10-14 22:51:05.296720	0 days 00:10:03.378866000	0.30000000000000004	0.00012364088202685967	9	3				COMPLETE
23	0.0003369292738390781	2020-10-14 22:51:05.297178	2020-10-14 23:00:57.912959	0 days 00:09:52.615781000	0.0	0.0003949151979514787	8	3	flat			COMPLETE
24	0.0003389473699256544	2020-10-14 23:00:57.913469	2020-10-14 23:11:16.829696	0 days 00:10:18.916227000	0.15000000000000002	4.54706473689133e-05	10	3				COMPLETE
