number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_two_layers_architecture_2	params_two_layers_architecture_3	state
0	inf	2020-07-28 20:36:53.575189	2020-07-28 20:39:48.431475	0 days 00:02:54.856286000		0.009876710346662595	10	1			COMPLETE
1	0.5115427833080013	2020-07-28 20:39:48.431947	2020-07-28 20:47:02.854778	0 days 00:07:14.422831000	0.5	1.980782809574839e-05	9	3			COMPLETE
2	0.5255333570461396	2020-07-28 20:47:02.855308	2020-07-28 20:54:57.144410	0 days 00:07:54.289102000		0.00010174317111310854	7	1			COMPLETE
3	0.5268498554553016	2020-07-28 20:54:57.144943	2020-07-28 21:00:52.723314	0 days 00:05:55.578371000		2.409886057604851e-05	6	1			COMPLETE
4	0.5118230305219658	2020-07-28 21:00:52.723835	2020-07-28 21:07:02.806500	0 days 00:06:10.082665000	0.05	0.0002864388944182806	8	2		flat	COMPLETE
5	0.5123103794965181	2020-07-28 21:07:02.807010	2020-07-28 21:13:35.491781	0 days 00:06:32.684771000	0.5	0.0026561463302298203	7	2		pyramid_4	COMPLETE
6	0.5267022892535603	2020-07-28 21:13:35.492301	2020-07-28 21:19:09.276378	0 days 00:05:33.784077000		2.4688239211360997e-05	8	1			COMPLETE
7	0.5120082904764395	2020-07-28 21:19:09.276889	2020-07-28 21:33:23.673214	0 days 00:14:14.396325000	0.25	1.2772738803968992e-05	8	2		pyramid_2	COMPLETE
8	0.5290694871876827	2020-07-28 21:33:23.673736	2020-07-28 21:39:32.297453	0 days 00:06:08.623717000	0.0	0.01148776249554581	6	2		flat	COMPLETE
9	0.5243930661832986	2020-07-28 21:39:32.297980	2020-07-28 21:45:57.059002	0 days 00:06:24.761022000		0.001808463213464414	9	1			COMPLETE
10	0.5110277043826952	2020-07-28 21:45:57.082354	2020-07-28 21:56:13.430959	0 days 00:10:16.348605000	0.5	8.391729612111448e-05	10	3			COMPLETE
11	0.5107996278647997	2020-07-28 21:56:13.431503	2020-07-28 22:04:40.562841	0 days 00:08:27.131338000	0.5	9.054032854745537e-05	10	3			COMPLETE
12	0.5095121400566703	2020-07-28 22:04:40.563354	2020-07-28 22:12:04.970989	0 days 00:07:24.407635000	0.35000000000000003	0.00014617362389473423	10	3			COMPLETE
13	0.5094737238033971	2020-07-28 22:12:04.972689	2020-07-28 22:19:28.123292	0 days 00:07:23.150603000	0.30000000000000004	0.0003040857344971452	10	3			COMPLETE
14	0.5101609611756477	2020-07-28 22:19:28.123856	2020-07-28 22:27:58.480354	0 days 00:08:30.356498000	0.30000000000000004	0.0005548548584380778	9	3			COMPLETE
15	0.5104661370639143	2020-07-28 22:27:58.480888	2020-07-28 22:37:14.722918	0 days 00:09:16.242030000	0.35000000000000003	0.0004621874467727614	10	3			COMPLETE
16	0.511377203807017	2020-07-28 22:37:14.723449	2020-07-28 22:45:34.193474	0 days 00:08:19.470025000	0.15000000000000002	0.0012087874663576194	9	3			COMPLETE
17	0.5109869662340032	2020-07-28 22:45:34.193995	2020-07-28 22:52:13.113787	0 days 00:06:38.919792000	0.4	0.0001645132064827126	10	3			COMPLETE
18	0.5095026860953352	2020-07-28 22:52:13.126933	2020-07-28 23:02:22.980367	0 days 00:10:09.853434000	0.15000000000000002	5.4250058750625035e-05	9	2	flat		COMPLETE
19	0.5104549206366391	2020-07-28 23:02:22.980929	2020-07-28 23:12:54.219746	0 days 00:10:31.238817000	0.15000000000000002	4.4414262786477066e-05	9	2	flat		COMPLETE
20	0.5104825986040606	2020-07-28 23:12:54.220274	2020-07-28 23:22:58.973876	0 days 00:10:04.753602000	0.15000000000000002	4.606526958042867e-05	9	2	flat		COMPLETE
21	0.5105747733904841	2020-07-28 23:22:58.974423	2020-07-28 23:31:45.928708	0 days 00:08:46.954285000	0.35000000000000003	0.00020849809466373808	10	3			COMPLETE
22	0.5104974442910618	2020-07-28 23:31:45.929238	2020-07-28 23:39:38.926385	0 days 00:07:52.997147000	0.2	0.0007894666405379864	10	3			COMPLETE
23	0.5115304815804032	2020-07-28 23:39:38.926932	2020-07-28 23:46:21.944802	0 days 00:06:43.017870000	0.4	0.00027651643091331635	9	2	pyramid_2		COMPLETE
24	0.5103456325430678	2020-07-28 23:46:21.945324	2020-07-28 23:53:39.081824	0 days 00:07:17.136500000	0.25	0.0001305485137199941	10	3			COMPLETE
