number	value	datetime_start	datetime_complete	duration	params_init_lr_idx	state
0	57.87909167319595	2020-07-18 10:22:29.138604	2020-07-19 00:01:27.754925	0 days 13:38:58.616321000	1	COMPLETE
1	62.32784890965041	2020-07-19 00:01:27.779587	2020-07-19 16:07:25.243155	0 days 16:05:57.463568000	3	COMPLETE
2	57.59000742906284	2020-07-19 16:07:25.269938	2020-07-20 05:55:43.606864	0 days 13:48:18.336926000	0	COMPLETE
3		2020-07-20 05:55:43.677849	2020-07-20 05:55:43.744507	0 days 00:00:00.066658000	0	PRUNED
4		2020-07-20 05:55:56.785777	2020-07-20 05:55:56.786583	0 days 00:00:00.000806000	1	PRUNED
5		2020-07-20 05:55:56.882602	2020-07-20 05:55:56.883325	0 days 00:00:00.000723000	1	PRUNED
6		2020-07-20 05:55:56.941943	2020-07-20 05:55:56.942604	0 days 00:00:00.000661000	3	PRUNED
7		2020-07-20 05:55:56.998953	2020-07-20 05:55:56.999867	0 days 00:00:00.000914000	1	PRUNED
8	56.93970236591598	2020-07-20 05:55:57.055554	2020-07-21 08:57:42.167937	1 days 03:01:45.112383000	2	COMPLETE
