number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_two_layers_architecture_3	state
0	48.243964571210974	2020-07-20 13:27:38.325493	2020-07-20 13:37:36.435436	0 days 00:09:58.109943000	0.5	5.853742971740157e-05	8	3	flat		COMPLETE
1	86.61873980163165	2020-07-20 13:37:36.436012	2020-07-20 16:29:02.463193	0 days 02:51:26.027181000	0.25	0.017950792057786172	10	2			COMPLETE
2	48.28689728862245	2020-07-20 16:29:02.481632	2020-07-20 16:44:13.309725	0 days 00:15:10.828093000	0.0	2.316624086140866e-05	7	2		pyramid_2	COMPLETE
3	78.3912903761426	2020-07-20 16:44:13.310257	2020-07-20 16:51:51.860527	0 days 00:07:38.550270000		0.001470962222334119	7	1			COMPLETE
4	50.48835796441797	2020-07-20 16:51:51.861041	2020-07-20 16:58:02.587809	0 days 00:06:10.726768000	0.2	0.00958193538811744	8	2		pyramid_2	COMPLETE
5	48.81180103504528	2020-07-20 16:58:02.588342	2020-07-20 17:06:55.398045	0 days 00:08:52.809703000	0.5	0.0003134734972975792	6	2		pyramid_2	COMPLETE
6	49.10380147107319	2020-07-20 17:06:55.398575	2020-07-20 17:14:04.639081	0 days 00:07:09.240506000	0.45	0.00013913578954330593	10	2			COMPLETE
7	51.046832534500865	2020-07-20 17:14:04.639612	2020-07-20 17:20:05.954756	0 days 00:06:01.315144000	0.2	0.004108668135630971	9	3			COMPLETE
8	78.1364072521534	2020-07-20 17:20:05.955287	2020-07-20 17:27:47.889678	0 days 00:07:41.934391000		0.004414755269625828	7	1			COMPLETE
9	78.3889245672235	2020-07-20 17:27:47.890211	2020-07-20 17:35:33.790865	0 days 00:07:45.900654000		0.0014385632370433022	7	1			COMPLETE
10	47.0954879427262	2020-07-20 17:35:33.791381	2020-07-20 17:52:15.686834	0 days 00:16:41.895453000	0.35000000000000003	1.1542923122326008e-05	9	3			COMPLETE
11	47.21670684188183	2020-07-20 17:52:15.687347	2020-07-20 18:08:26.278734	0 days 00:16:10.591387000	0.4	1.2313240522890808e-05	9	3			COMPLETE
12	47.16362541522915	2020-07-20 18:08:26.279248	2020-07-20 18:25:22.838689	0 days 00:16:56.559441000	0.35000000000000003	1.0286649386376715e-05	9	3			COMPLETE
13	47.216370183132554	2020-07-20 18:25:22.839230	2020-07-20 18:42:51.791478	0 days 00:17:28.952248000	0.35000000000000003	1.3338453847232668e-05	9	3			COMPLETE
14	48.310666800721144	2020-07-20 18:42:51.791977	2020-07-20 18:53:33.747910	0 days 00:10:41.955933000	0.30000000000000004	4.716742905821309e-05	9	3			COMPLETE
15	47.15892140530794	2020-07-20 18:53:33.748443	2020-07-20 19:07:03.447903	0 days 00:13:29.699460000	0.1	1.0751780679881325e-05	10	3			COMPLETE
16	48.80970213784298	2020-07-20 19:07:03.448430	2020-07-20 19:15:53.928351	0 days 00:08:50.479921000	0.05	4.6169430567573116e-05	10	3			COMPLETE
17	49.78933340106688	2020-07-20 19:15:53.928879	2020-07-20 19:22:31.301120	0 days 00:06:37.372241000	0.1	0.00014768286184600418	10	3			COMPLETE
18	47.68001275690577	2020-07-20 19:22:31.301615	2020-07-20 19:33:39.393833	0 days 00:11:08.092218000	0.15000000000000002	2.478203322738082e-05	10	3			COMPLETE
19	48.295028594485174	2020-07-20 19:33:39.394365	2020-07-20 19:40:33.456745	0 days 00:06:54.062380000	0.0	0.00010958301821095263	8	2		pyramid_4	COMPLETE
20	47.96929547977873	2020-07-20 19:40:33.457251	2020-07-20 19:48:05.527020	0 days 00:07:32.069769000	0.1	0.000439856075851003	9	3			COMPLETE
21	47.11928410604048	2020-07-20 19:48:05.527692	2020-07-20 20:04:20.313513	0 days 00:16:14.785821000	0.35000000000000003	1.0948866269235941e-05	9	3			COMPLETE
22	47.093458503085095	2020-07-20 20:04:20.314034	2020-07-20 20:22:03.236704	0 days 00:17:42.922670000	0.30000000000000004	1.010608465261104e-05	9	3			COMPLETE
23	47.6766504145598	2020-07-20 20:22:03.240018	2020-07-20 20:33:39.654886	0 days 00:11:36.414868000	0.30000000000000004	2.2637718332188867e-05	9	3			COMPLETE
24	47.1424740513383	2020-07-20 20:33:39.655420	2020-07-20 20:50:46.008972	0 days 00:17:06.353552000	0.4	1.0128868004981009e-05	8	3	pyramid_2		COMPLETE
